,postal_code,data,value
0,M3A,2021A0011M3A - 40 to 44 years - Counts - Total,2340.0
1,M4A,2021A0011M4A - 40 to 44 years - Counts - Total,1020.0
2,M5A,2021A0011M5A - 40 to 44 years - Counts - Total,3570.0
3,M6A,2021A0011M6A - 40 to 44 years - Counts - Total,1585.0
4,M7A,2021A0011M7A - 40 to 44 years - Counts - Total,
5,M5E,2021A0011M5E - 40 to 44 years - Counts - Total,715.0
6,M4E,2021A0011M4E - 40 to 44 years - Counts - Total,2055.0
7,M6E,2021A0011M6E - 40 to 44 years - Counts - Total,2765.0
8,M5G,2021A0011M5G - 40 to 44 years - Counts - Total,490.0
9,M6G,2021A0011M6G - 40 to 44 years - Counts - Total,1995.0
10,M2H,2021A0011M2H - 40 to 44 years - Counts - Total,1185.0
11,M3H,2021A0011M3H - 40 to 44 years - Counts - Total,2915.0
12,M4H,2021A0011M4H - 40 to 44 years - Counts - Total,1180.0
13,M5H,2021A0011M5H - 40 to 44 years - Counts - Total,170.0
14,M6H,2021A0011M6H - 40 to 44 years - Counts - Total,3495.0
15,M1J,2021A0011M1J - 40 to 44 years - Counts - Total,2360.0
16,M2J,2021A0011M2J - 40 to 44 years - Counts - Total,4075.0
17,M3J,2021A0011M3J - 40 to 44 years - Counts - Total,1615.0
18,M4J,2021A0011M4J - 40 to 44 years - Counts - Total,2965.0
19,M5J,2021A0011M5J - 40 to 44 years - Counts - Total,1050.0
20,M6K,2021A0011M6K - 40 to 44 years - Counts - Total,3415.0
21,M1L,2021A0011M1L - 40 to 44 years - Counts - Total,2510.0
22,M2L,2021A0011M2L - 40 to 44 years - Counts - Total,585.0
23,M3L,2021A0011M3L - 40 to 44 years - Counts - Total,1340.0
24,M4L,2021A0011M4L - 40 to 44 years - Counts - Total,2790.0
25,M6L,2021A0011M6L - 40 to 44 years - Counts - Total,1295.0
26,M9L,2021A0011M9L - 40 to 44 years - Counts - Total,670.0
27,M1M,2021A0011M1M - 40 to 44 years - Counts - Total,1295.0
28,M2M,2021A0011M2M - 40 to 44 years - Counts - Total,1900.0
29,M3M,2021A0011M3M - 40 to 44 years - Counts - Total,1805.0
30,M4M,2021A0011M4M - 40 to 44 years - Counts - Total,2175.0
31,M5M,2021A0011M5M - 40 to 44 years - Counts - Total,1760.0
32,M6M,2021A0011M6M - 40 to 44 years - Counts - Total,2860.0
33,M9M,2021A0011M9M - 40 to 44 years - Counts - Total,1660.0
34,M1N,2021A0011M1N - 40 to 44 years - Counts - Total,1600.0
35,M2N,2021A0011M2N - 40 to 44 years - Counts - Total,5090.0
36,M3N,2021A0011M3N - 40 to 44 years - Counts - Total,2450.0
37,M4N,2021A0011M4N - 40 to 44 years - Counts - Total,930.0
38,M5N,2021A0011M5N - 40 to 44 years - Counts - Total,1070.0
39,M6N,2021A0011M6N - 40 to 44 years - Counts - Total,2905.0
40,M9N,2021A0011M9N - 40 to 44 years - Counts - Total,1765.0
41,M1P,2021A0011M1P - 40 to 44 years - Counts - Total,2615.0
42,M2P,2021A0011M2P - 40 to 44 years - Counts - Total,445.0
43,M4P,2021A0011M4P - 40 to 44 years - Counts - Total,1885.0
44,M5P,2021A0011M5P - 40 to 44 years - Counts - Total,1165.0
45,M6P,2021A0011M6P - 40 to 44 years - Counts - Total,3360.0
46,M9P,2021A0011M9P - 40 to 44 years - Counts - Total,1250.0
47,M1R,2021A0011M1R - 40 to 44 years - Counts - Total,1880.0
48,M2R,2021A0011M2R - 40 to 44 years - Counts - Total,2755.0
49,M4R,2021A0011M4R - 40 to 44 years - Counts - Total,820.0
50,M5R,2021A0011M5R - 40 to 44 years - Counts - Total,1475.0
51,M6R,2021A0011M6R - 40 to 44 years - Counts - Total,1595.0
52,M9R,2021A0011M9R - 40 to 44 years - Counts - Total,2065.0
53,M1S,2021A0011M1S - 40 to 44 years - Counts - Total,1915.0
54,M4S,2021A0011M4S - 40 to 44 years - Counts - Total,2315.0
55,M5S,2021A0011M5S - 40 to 44 years - Counts - Total,855.0
56,M6S,2021A0011M6S - 40 to 44 years - Counts - Total,2730.0
57,M1T,2021A0011M1T - 40 to 44 years - Counts - Total,1840.0
58,M4T,2021A0011M4T - 40 to 44 years - Counts - Total,665.0
59,M5T,2021A0011M5T - 40 to 44 years - Counts - Total,1000.0
60,M1V,2021A0011M1V - 40 to 44 years - Counts - Total,2695.0
61,M4V,2021A0011M4V - 40 to 44 years - Counts - Total,1090.0
62,M5V,2021A0011M5V - 40 to 44 years - Counts - Total,4150.0
63,M8V,2021A0011M8V - 40 to 44 years - Counts - Total,3130.0
64,M9V,2021A0011M9V - 40 to 44 years - Counts - Total,3215.0
65,M1W,2021A0011M1W - 40 to 44 years - Counts - Total,2430.0
66,M4W,2021A0011M4W - 40 to 44 years - Counts - Total,790.0
67,M8W,2021A0011M8W - 40 to 44 years - Counts - Total,1680.0
68,M9W,2021A0011M9W - 40 to 44 years - Counts - Total,2470.0
69,M1X,2021A0011M1X - 40 to 44 years - Counts - Total,890.0
70,M4X,2021A0011M4X - 40 to 44 years - Counts - Total,1505.0
71,M8X,2021A0011M8X - 40 to 44 years - Counts - Total,605.0
72,M8Y,2021A0011M8Y - 40 to 44 years - Counts - Total,1745.0
73,M8Z,2021A0011M8Z - 40 to 44 years - Counts - Total,1590.0
