,postal_code,data,value
0,M3A,"2021A0011M3A - Population, 2021 - Counts - Total",34361.0
1,M4A,"2021A0011M4A - Population, 2021 - Counts - Total",14589.0
2,M5A,"2021A0011M5A - Population, 2021 - Counts - Total",48978.0
3,M6A,"2021A0011M6A - Population, 2021 - Counts - Total",22380.0
4,M3A,2021A0011M3A - Single-detached house - Counts - Total,2530.0
5,M4A,2021A0011M4A - Single-detached house - Counts - Total,1235.0
6,M5A,2021A0011M5A - Single-detached house - Counts - Total,125.0
7,M6A,2021A0011M6A - Single-detached house - Counts - Total,1485.0
8,M3A,2021A0011M7A - Single-detached house - Counts - Total,
9,M3A,2021A0011M3A - Single-detached house - Counts - Total,2530.0
10,M4A,2021A0011M3A - Single-detached house - Counts - Total,2530.0
11,M4A,2021A0011M4A - Single-detached house - Counts - Total,1235.0
12,M5A,2021A0011M4A - Single-detached house - Counts - Total,1235.0
13,M5A,2021A0011M5A - Single-detached house - Counts - Total,125.0
14,M6A,2021A0011M5A - Single-detached house - Counts - Total,125.0
15,M6A,2021A0011M6A - Single-detached house - Counts - Total,1485.0
16,M7A,2021A0011M6A - Single-detached house - Counts - Total,1485.0
17,M3A,2021A0011M7A - Single-detached house - Counts - Total,
18,M3A,2021A0011M3A - Single-detached house - Counts - Total,2530.0
19,M4A,2021A0011M3A - Single-detached house - Counts - Total,2530.0
20,M4A,2021A0011M4A - Single-detached house - Counts - Total,1235.0
21,M5A,2021A0011M4A - Single-detached house - Counts - Total,1235.0
22,M5A,2021A0011M5A - Single-detached house - Counts - Total,125.0
23,M6A,2021A0011M5A - Single-detached house - Counts - Total,125.0
24,M6A,2021A0011M6A - Single-detached house - Counts - Total,1485.0
25,M7A,2021A0011M6A - Single-detached house - Counts - Total,1485.0
26,M3A,2021A0011M3A - Single-detached house - Counts - Total,2530.0
27,M3A,2021A0011M3A - Single-detached house - Counts - Total,2530.0
28,M4A,2021A0011M4A - Single-detached house - Counts - Total,1235.0
29,M4A,2021A0011M4A - Single-detached house - Counts - Total,1235.0
30,M5A,2021A0011M5A - Single-detached house - Counts - Total,125.0
31,M5A,2021A0011M5A - Single-detached house - Counts - Total,125.0
32,M6A,2021A0011M6A - Single-detached house - Counts - Total,1485.0
33,M6A,2021A0011M6A - Single-detached house - Counts - Total,1485.0
34,M3A,2021A0011M3A - Single-detached house - Counts - Total,2530.0
35,M4A,2021A0011M4A - Single-detached house - Counts - Total,1235.0
36,M5A,2021A0011M5A - Single-detached house - Counts - Total,125.0
37,M6A,2021A0011M6A - Single-detached house - Counts - Total,1485.0
38,M7A,2021A0011M7A - Single-detached house - Counts - Total,
39,M5E,2021A0011M5E - Single-detached house - Counts - Total,10.0
40,M4E,2021A0011M4E - Single-detached house - Counts - Total,3045.0
41,M6E,2021A0011M6E - Single-detached house - Counts - Total,5145.0
42,M5G,2021A0011M5G - Single-detached house - Counts - Total,5.0
43,M6G,2021A0011M6G - Single-detached house - Counts - Total,1665.0
44,M2H,2021A0011M2H - Single-detached house - Counts - Total,2085.0
45,M3H,2021A0011M3H - Single-detached house - Counts - Total,5290.0
46,M4H,2021A0011M4H - Single-detached house - Counts - Total,0.0
47,M5H,2021A0011M5H - Single-detached house - Counts - Total,0.0
48,M6H,2021A0011M6H - Single-detached house - Counts - Total,2135.0
49,M1J,2021A0011M1J - Single-detached house - Counts - Total,2920.0
50,M2J,2021A0011M2J - Single-detached house - Counts - Total,3940.0
51,M3J,2021A0011M3J - Single-detached house - Counts - Total,1285.0
52,M4J,2021A0011M4J - Single-detached house - Counts - Total,4240.0
53,M5J,2021A0011M5J - Single-detached house - Counts - Total,240.0
54,M3A,2021A0011M3A - Single-detached house - Counts - Total,2530.0
55,M4A,2021A0011M4A - Single-detached house - Counts - Total,1235.0
56,M5A,2021A0011M5A - Single-detached house - Counts - Total,125.0
57,M6A,2021A0011M6A - Single-detached house - Counts - Total,1485.0
58,M7A,2021A0011M7A - Single-detached house - Counts - Total,
59,M5E,2021A0011M5E - Single-detached house - Counts - Total,10.0
60,M4E,2021A0011M4E - Single-detached house - Counts - Total,3045.0
61,M6E,2021A0011M6E - Single-detached house - Counts - Total,5145.0
62,M5G,2021A0011M5G - Single-detached house - Counts - Total,5.0
63,M6G,2021A0011M6G - Single-detached house - Counts - Total,1665.0
64,M2H,2021A0011M2H - Single-detached house - Counts - Total,2085.0
65,M3H,2021A0011M3H - Single-detached house - Counts - Total,5290.0
66,M4H,2021A0011M4H - Single-detached house - Counts - Total,0.0
67,M5H,2021A0011M5H - Single-detached house - Counts - Total,0.0
68,M6H,2021A0011M6H - Single-detached house - Counts - Total,2135.0
69,M1J,2021A0011M1J - Single-detached house - Counts - Total,2920.0
70,M2J,2021A0011M2J - Single-detached house - Counts - Total,3940.0
71,M3J,2021A0011M3J - Single-detached house - Counts - Total,1285.0
72,M4J,2021A0011M4J - Single-detached house - Counts - Total,4240.0
73,M5J,2021A0011M5J - Single-detached house - Counts - Total,240.0
74,M6K,2021A0011M6K - Single-detached house - Counts - Total,380.0
75,M1L,2021A0011M1L - Single-detached house - Counts - Total,3430.0
76,M2L,2021A0011M2L - Single-detached house - Counts - Total,2315.0
77,M3L,2021A0011M3L - Single-detached house - Counts - Total,600.0
78,M4L,2021A0011M4L - Single-detached house - Counts - Total,2550.0
79,M6L,2021A0011M6L - Single-detached house - Counts - Total,2760.0
80,M9L,2021A0011M9L - Single-detached house - Counts - Total,530.0
81,M1M,2021A0011M1M - Single-detached house - Counts - Total,4330.0
82,M2M,2021A0011M2M - Single-detached house - Counts - Total,4495.0
83,M3M,2021A0011M3M - Single-detached house - Counts - Total,2580.0
84,M4M,2021A0011M4M - Single-detached house - Counts - Total,725.0
85,M5M,2021A0011M5M - Single-detached house - Counts - Total,6015.0
86,M6M,2021A0011M6M - Single-detached house - Counts - Total,4530.0
87,M9M,2021A0011M9M - Single-detached house - Counts - Total,1470.0
88,M1N,2021A0011M1N - Single-detached house - Counts - Total,4895.0
89,M2N,2021A0011M2N - Single-detached house - Counts - Total,5965.0
90,M3N,2021A0011M3N - Single-detached house - Counts - Total,995.0
91,M4N,2021A0011M4N - Single-detached house - Counts - Total,3000.0
92,M5N,2021A0011M5N - Single-detached house - Counts - Total,2800.0
93,M6N,2021A0011M6N - Single-detached house - Counts - Total,3895.0
94,M9N,2021A0011M9N - Single-detached house - Counts - Total,2695.0
95,M1P,2021A0011M1P - Single-detached house - Counts - Total,4045.0
96,M2P,2021A0011M2P - Single-detached house - Counts - Total,1670.0
97,M4P,2021A0011M4P - Single-detached house - Counts - Total,925.0
98,M5P,2021A0011M5P - Single-detached house - Counts - Total,2385.0
99,M6P,2021A0011M6P - Single-detached house - Counts - Total,2110.0
100,M9P,2021A0011M9P - Single-detached house - Counts - Total,3570.0
101,M1R,2021A0011M1R - Single-detached house - Counts - Total,5275.0
102,M2R,2021A0011M2R - Single-detached house - Counts - Total,3265.0
103,M4R,2021A0011M4R - Single-detached house - Counts - Total,1785.0
104,M5R,2021A0011M5R - Single-detached house - Counts - Total,730.0
105,M6R,2021A0011M6R - Single-detached house - Counts - Total,1370.0
106,M9R,2021A0011M9R - Single-detached house - Counts - Total,3935.0
107,M1S,2021A0011M1S - Single-detached house - Counts - Total,4615.0
108,M4S,2021A0011M4S - Single-detached house - Counts - Total,1835.0
109,M5S,2021A0011M5S - Single-detached house - Counts - Total,120.0
110,M6S,2021A0011M6S - Single-detached house - Counts - Total,5250.0
111,M1T,2021A0011M1T - Single-detached house - Counts - Total,3535.0
112,M4T,2021A0011M4T - Single-detached house - Counts - Total,1160.0
113,M5T,2021A0011M5T - Single-detached house - Counts - Total,80.0
114,M1V,2021A0011M1V - Single-detached house - Counts - Total,7090.0
115,M4V,2021A0011M4V - Single-detached house - Counts - Total,1160.0
116,M5V,2021A0011M5V - Single-detached house - Counts - Total,20.0
117,M8V,2021A0011M8V - Single-detached house - Counts - Total,3370.0
118,M9V,2021A0011M9V - Single-detached house - Counts - Total,4630.0
119,M1W,2021A0011M1W - Single-detached house - Counts - Total,5160.0
120,M4W,2021A0011M4W - Single-detached house - Counts - Total,1465.0
121,M8W,2021A0011M8W - Single-detached house - Counts - Total,4165.0
122,M9W,2021A0011M9W - Single-detached house - Counts - Total,5295.0
123,M1X,2021A0011M1X - Single-detached house - Counts - Total,2635.0
124,M4X,2021A0011M4X - Single-detached house - Counts - Total,85.0
125,M8X,2021A0011M8X - Single-detached house - Counts - Total,2105.0
126,M8Y,2021A0011M8Y - Single-detached house - Counts - Total,3355.0
127,M8Z,2021A0011M8Z - Single-detached house - Counts - Total,4125.0
