,postal_code,data,value
0,M3A,2021A0011M3A - Median total income in 2020 among recipients ($) - Rates - Total,37600.0
1,M4A,2021A0011M4A - Median total income in 2020 among recipients ($) - Rates - Total,34800.0
2,M5A,2021A0011M5A - Median total income in 2020 among recipients ($) - Rates - Total,43200.0
3,M6A,2021A0011M6A - Median total income in 2020 among recipients ($) - Rates - Total,36000.0
4,M7A,2021A0011M7A - Median total income in 2020 among recipients ($) - Rates - Total,
5,M5E,2021A0011M5E - Median total income in 2020 among recipients ($) - Rates - Total,67000.0
6,M4E,2021A0011M4E - Median total income in 2020 among recipients ($) - Rates - Total,56800.0
7,M6E,2021A0011M6E - Median total income in 2020 among recipients ($) - Rates - Total,36800.0
8,M5G,2021A0011M5G - Median total income in 2020 among recipients ($) - Rates - Total,43600.0
9,M6G,2021A0011M6G - Median total income in 2020 among recipients ($) - Rates - Total,43600.0
10,M2H,2021A0011M2H - Median total income in 2020 among recipients ($) - Rates - Total,34400.0
11,M3H,2021A0011M3H - Median total income in 2020 among recipients ($) - Rates - Total,40400.0
12,M4H,2021A0011M4H - Median total income in 2020 among recipients ($) - Rates - Total,28000.0
13,M5H,2021A0011M5H - Median total income in 2020 among recipients ($) - Rates - Total,60000.0
14,M6H,2021A0011M6H - Median total income in 2020 among recipients ($) - Rates - Total,40400.0
15,M1J,2021A0011M1J - Median total income in 2020 among recipients ($) - Rates - Total,33200.0
16,M2J,2021A0011M2J - Median total income in 2020 among recipients ($) - Rates - Total,36000.0
17,M3J,2021A0011M3J - Median total income in 2020 among recipients ($) - Rates - Total,32800.0
18,M4J,2021A0011M4J - Median total income in 2020 among recipients ($) - Rates - Total,43200.0
19,M5J,2021A0011M5J - Median total income in 2020 among recipients ($) - Rates - Total,62800.0
20,M6K,2021A0011M6K - Median total income in 2020 among recipients ($) - Rates - Total,42800.0
21,M1L,2021A0011M1L - Median total income in 2020 among recipients ($) - Rates - Total,34000.0
22,M2L,2021A0011M2L - Median total income in 2020 among recipients ($) - Rates - Total,47200.0
23,M3L,2021A0011M3L - Median total income in 2020 among recipients ($) - Rates - Total,32400.0
24,M4L,2021A0011M4L - Median total income in 2020 among recipients ($) - Rates - Total,51600.0
25,M6L,2021A0011M6L - Median total income in 2020 among recipients ($) - Rates - Total,34000.0
