,postal_code,data,value
0,M3A,"2021A0011M3A - Population, 2021 - Counts - Total",34361.0
1,M4A,"2021A0011M4A - Population, 2021 - Counts - Total",14589.0
2,M5A,"2021A0011M5A - Population, 2021 - Counts - Total",48978.0
3,M6A,"2021A0011M6A - Population, 2021 - Counts - Total",22380.0
4,M7A,"2021A0011M7A - Population, 2021 - Counts - Total",5.0
5,M5E,"2021A0011M5E - Population, 2021 - Counts - Total",11779.0
6,M4E,"2021A0011M4E - Population, 2021 - Counts - Total",25473.0
7,M6E,"2021A0011M6E - Population, 2021 - Counts - Total",37684.0
8,M5G,"2021A0011M5G - Population, 2021 - Counts - Total",9751.0
9,M6G,"2021A0011M6G - Population, 2021 - Counts - Total",30600.0
10,M2H,"2021A0011M2H - Population, 2021 - Counts - Total",23396.0
11,M3H,"2021A0011M3H - Population, 2021 - Counts - Total",38416.0
12,M4H,"2021A0011M4H - Population, 2021 - Counts - Total",18698.0
13,M5H,"2021A0011M5H - Population, 2021 - Counts - Total",3248.0
14,M6H,"2021A0011M6H - Population, 2021 - Counts - Total",43730.0
15,M1J,"2021A0011M1J - Population, 2021 - Counts - Total",37002.0
16,M2J,"2021A0011M2J - Population, 2021 - Counts - Total",61761.0
17,M3J,"2021A0011M3J - Population, 2021 - Counts - Total",26600.0
18,M4J,"2021A0011M4J - Population, 2021 - Counts - Total",35128.0
19,M5J,"2021A0011M5J - Population, 2021 - Counts - Total",16879.0
20,M3A,"2021A0011M3A - Population, 2021 - Counts - Total",34361.0
21,M4A,"2021A0011M4A - Population, 2021 - Counts - Total",14589.0
22,M5A,"2021A0011M5A - Population, 2021 - Counts - Total",48978.0
23,M6A,"2021A0011M6A - Population, 2021 - Counts - Total",22380.0
24,M7A,"2021A0011M7A - Population, 2021 - Counts - Total",5.0
25,M5E,"2021A0011M5E - Population, 2021 - Counts - Total",11779.0
26,M4E,"2021A0011M4E - Population, 2021 - Counts - Total",25473.0
27,M6E,"2021A0011M6E - Population, 2021 - Counts - Total",37684.0
28,M5G,"2021A0011M5G - Population, 2021 - Counts - Total",9751.0
29,M6G,"2021A0011M6G - Population, 2021 - Counts - Total",30600.0
30,M2H,"2021A0011M2H - Population, 2021 - Counts - Total",23396.0
31,M3H,"2021A0011M3H - Population, 2021 - Counts - Total",38416.0
32,M4H,"2021A0011M4H - Population, 2021 - Counts - Total",18698.0
33,M5H,"2021A0011M5H - Population, 2021 - Counts - Total",3248.0
34,M6H,"2021A0011M6H - Population, 2021 - Counts - Total",43730.0
35,M1J,"2021A0011M1J - Population, 2021 - Counts - Total",37002.0
36,M2J,"2021A0011M2J - Population, 2021 - Counts - Total",61761.0
37,M3J,"2021A0011M3J - Population, 2021 - Counts - Total",26600.0
38,M4J,"2021A0011M4J - Population, 2021 - Counts - Total",35128.0
39,M5J,"2021A0011M5J - Population, 2021 - Counts - Total",16879.0
40,M6K,"2021A0011M6K - Population, 2021 - Counts - Total",42110.0
41,M1L,"2021A0011M1L - Population, 2021 - Counts - Total",35833.0
42,M2L,"2021A0011M2L - Population, 2021 - Counts - Total",11274.0
43,M3L,"2021A0011M3L - Population, 2021 - Counts - Total",19263.0
44,M4L,"2021A0011M4L - Population, 2021 - Counts - Total",32218.0
45,M6L,"2021A0011M6L - Population, 2021 - Counts - Total",20156.0
46,M9L,"2021A0011M9L - Population, 2021 - Counts - Total",11737.0
47,M1M,"2021A0011M1M - Population, 2021 - Counts - Total",23258.0
48,M2M,"2021A0011M2M - Population, 2021 - Counts - Total",31915.0
49,M3M,"2021A0011M3M - Population, 2021 - Counts - Total",24906.0
50,M4M,"2021A0011M4M - Population, 2021 - Counts - Total",25052.0
51,M5M,"2021A0011M5M - Population, 2021 - Counts - Total",25495.0
52,M6M,"2021A0011M6M - Population, 2021 - Counts - Total",42148.0
53,M9M,"2021A0011M9M - Population, 2021 - Counts - Total",24245.0
54,M1N,"2021A0011M1N - Population, 2021 - Counts - Total",22976.0
55,M2N,"2021A0011M2N - Population, 2021 - Counts - Total",75100.0
56,M3N,"2021A0011M3N - Population, 2021 - Counts - Total",40846.0
57,M4N,"2021A0011M4N - Population, 2021 - Counts - Total",16058.0
58,M5N,"2021A0011M5N - Population, 2021 - Counts - Total",16154.0
59,M6N,"2021A0011M6N - Population, 2021 - Counts - Total",40252.0
60,M9N,"2021A0011M9N - Population, 2021 - Counts - Total",26059.0
61,M1P,"2021A0011M1P - Population, 2021 - Counts - Total",45170.0
62,M2P,"2021A0011M2P - Population, 2021 - Counts - Total",7546.0
63,M4P,"2021A0011M4P - Population, 2021 - Counts - Total",25057.0
64,M5P,"2021A0011M5P - Population, 2021 - Counts - Total",19791.0
65,M6P,"2021A0011M6P - Population, 2021 - Counts - Total",39870.0
66,M9P,"2021A0011M9P - Population, 2021 - Counts - Total",20645.0
67,M1R,"2021A0011M1R - Population, 2021 - Counts - Total",30467.0
68,M2R,"2021A0011M2R - Population, 2021 - Counts - Total",40581.0
69,M4R,"2021A0011M4R - Population, 2021 - Counts - Total",11909.0
70,M5R,"2021A0011M5R - Population, 2021 - Counts - Total",26197.0
71,M6R,"2021A0011M6R - Population, 2021 - Counts - Total",19349.0
72,M9R,"2021A0011M9R - Population, 2021 - Counts - Total",33783.0
73,M1S,"2021A0011M1S - Population, 2021 - Counts - Total",37663.0
74,M4S,"2021A0011M4S - Population, 2021 - Counts - Total",30754.0
75,M5S,"2021A0011M5S - Population, 2021 - Counts - Total",17074.0
76,M6S,"2021A0011M6S - Population, 2021 - Counts - Total",34029.0
77,M1T,"2021A0011M1T - Population, 2021 - Counts - Total",34607.0
78,M4T,"2021A0011M4T - Population, 2021 - Counts - Total",10332.0
79,M5T,"2021A0011M5T - Population, 2021 - Counts - Total",17903.0
80,M1V,"2021A0011M1V - Population, 2021 - Counts - Total",50825.0
81,M4V,"2021A0011M4V - Population, 2021 - Counts - Total",19273.0
82,M5V,"2021A0011M5V - Population, 2021 - Counts - Total",59912.0
83,M8V,"2021A0011M8V - Population, 2021 - Counts - Total",44144.0
84,M9V,"2021A0011M9V - Population, 2021 - Counts - Total",53878.0
85,M1W,"2021A0011M1W - Population, 2021 - Counts - Total",47070.0
86,M4W,"2021A0011M4W - Population, 2021 - Counts - Total",15296.0
87,M8W,"2021A0011M8W - Population, 2021 - Counts - Total",22381.0
88,M9W,"2021A0011M9W - Population, 2021 - Counts - Total",40977.0
89,M1X,"2021A0011M1X - Population, 2021 - Counts - Total",14810.0
90,M4X,"2021A0011M4X - Population, 2021 - Counts - Total",19896.0
91,M8X,"2021A0011M8X - Population, 2021 - Counts - Total",10624.0
92,M8Y,"2021A0011M8Y - Population, 2021 - Counts - Total",21986.0
93,M8Z,"2021A0011M8Z - Population, 2021 - Counts - Total",19312.0
